date,actual_trips,rf_predicted,xgb_predicted,ensemble_predicted,rf_residual,xgb_residual
2015-02-21,98380,91886.36,89575.61,90815.70636792263,6493.639999999999,8804.390625
2015-02-22,66440,88032.1,79537.34,84096.17590089634,-21592.100000000006,-13097.34375
2015-02-23,71217,72702.68,70237.484,71560.46720159393,-1485.679999999993,979.515625
2015-02-24,79115,78251.77,81690.59,79845.09964420425,863.2299999999959,-2575.59375
2015-02-25,74691,79155.84,75965.82,77677.78973444598,-4464.8399999999965,-1274.8203125
2015-02-26,83568,79756.98,71129.38,75759.50570287151,3811.020000000004,12438.6171875
2015-02-27,88806,85696.57,82015.24,83990.87750912557,3109.429999999993,6790.7578125
2015-02-28,88181,88890.69,95775.28,92080.56395826573,-709.6900000000023,-7594.28125
